id_imdb,Titolo,Valutazione IMDb,Numero Voti,Ultimo Aggiornamento
tt33612209,The Devil Wears Prada 2,6.7,50853,28/05/2026 21:37
tt30825738,The Mandalorian and Grogu,7.0,38689,28/05/2026 21:39
tt33100314,Remarkably Bright Creatures,7.7,27302,28/05/2026 21:48
tt32565993,The Sheep Detectives,7.7,14545,28/05/2026 21:41
tt39018643,Billie Eilish: Hit Me Hard and Soft - The Tour Live in 3D,7.6,2729,28/05/2026 21:38
tt32448239,Dracula,5.7,842,28/05/2026 21:44
tt34906817,Non è un paese per single,5.4,715,28/05/2026 21:47
tt37496640,Ha'yam,7.7,199,28/05/2026 21:34
tt35627549,Illusione,6.4,59,28/05/2026 21:42
tt35822521,Antartica - Quasi una fiaba,7.2,30,28/05/2026 21:43
tt39373034,Willie Peyote - Elegia sabauda,7.6,5,28/05/2026 21:36
